ID,Resume Text,Job Role,ATS Score
14,"Content writer with experience in blogging, copywriting, and technical documentation. Specialized in content writer technologies and strategies.",Content Writer,74
14,"Content writer with experience in blogging, copywriting, and technical documentation. Passionate about content writer advancements.",Content Writer,74
14,"Content writer with experience in blogging, copywriting, and technical documentation. Experience in content writer projects and innovations.",Content Writer,74
15,"Mobile app developer with skills in Swift, Kotlin, and Flutter for Android/iOS. Specialized in mobile app developer technologies and strategies.",Mobile App Developer,62
15,"Mobile app developer with skills in Swift, Kotlin, and Flutter for Android/iOS. Specialized in mobile app developer technologies and strategies.",Mobile App Developer,62
15,"Mobile app developer with skills in Swift, Kotlin, and Flutter for Android/iOS. Passionate about mobile app developer advancements.",Mobile App Developer,62
15,"Mobile app developer with skills in Swift, Kotlin, and Flutter for Android/iOS. Specialized in mobile app developer technologies and strategies.",Mobile App Developer,62
15,"Mobile app developer with skills in Swift, Kotlin, and Flutter for Android/iOS. Worked on multiple mobile app developer solutions and optimizations.",Mobile App Developer,62
16,"IT support specialist experienced in troubleshooting, help desk support, and IT security. Specialized in it support specialist technologies and strategies.",IT Support Specialist,63
16,"IT support specialist experienced in troubleshooting, help desk support, and IT security. Passionate about it support specialist advancements.",IT Support Specialist,63
16,"IT support specialist experienced in troubleshooting, help desk support, and IT security. Passionate about it support specialist advancements.",IT Support Specialist,63
16,"IT support specialist experienced in troubleshooting, help desk support, and IT security. Experience in it support specialist projects and innovations.",IT Support Specialist,63
16,"IT support specialist experienced in troubleshooting, help desk support, and IT security. Experience in it support specialist projects and innovations.",IT Support Specialist,63
17,"Blockchain developer with expertise in smart contracts, Ethereum, and Solidity. Strong background in blockchain developer industry trends.",Blockchain Developer,92
17,"Blockchain developer with expertise in smart contracts, Ethereum, and Solidity. Strong background in blockchain developer industry trends.",Blockchain Developer,92
17,"Blockchain developer with expertise in smart contracts, Ethereum, and Solidity. Strong background in blockchain developer industry trends.",Blockchain Developer,92
17,"Blockchain developer with expertise in smart contracts, Ethereum, and Solidity. Specialized in blockchain developer technologies and strategies.",Blockchain Developer,92
17,"Blockchain developer with expertise in smart contracts, Ethereum, and Solidity. Strong background in blockchain developer industry trends.",Blockchain Developer,92
18,"Electrical engineer skilled in circuit design, embedded systems, and MATLAB. Strong background in electrical engineer industry trends.",Electrical Engineer,74
18,"Electrical engineer skilled in circuit design, embedded systems, and MATLAB. Strong background in electrical engineer industry trends.",Electrical Engineer,74
18,"Electrical engineer skilled in circuit design, embedded systems, and MATLAB. Passionate about electrical engineer advancements.",Electrical Engineer,74
18,"Electrical engineer skilled in circuit design, embedded systems, and MATLAB. Worked on multiple electrical engineer solutions and optimizations.",Electrical Engineer,74
18,"Electrical engineer skilled in circuit design, embedded systems, and MATLAB. Strong background in electrical engineer industry trends.",Electrical Engineer,74
19,"Mechanical engineer with experience in CAD, SolidWorks, and industrial automation. Passionate about mechanical engineer advancements.",Mechanical Engineer,68
19,"Mechanical engineer with experience in CAD, SolidWorks, and industrial automation. Worked on multiple mechanical engineer solutions and optimizations.",Mechanical Engineer,68
19,"Mechanical engineer with experience in CAD, SolidWorks, and industrial automation. Strong background in mechanical engineer industry trends.",Mechanical Engineer,68
19,"Mechanical engineer with experience in CAD, SolidWorks, and industrial automation. Experience in mechanical engineer projects and innovations.",Mechanical Engineer,68
19,"Mechanical engineer with experience in CAD, SolidWorks, and industrial automation. Experience in mechanical engineer projects and innovations.",Mechanical Engineer,68
20,"Biomedical engineer specializing in medical imaging, prosthetics, and biotechnology. Experience in biomedical engineer projects and innovations.",Biomedical Engineer,90
20,"Biomedical engineer specializing in medical imaging, prosthetics, and biotechnology. Experience in biomedical engineer projects and innovations.",Biomedical Engineer,90
20,"Biomedical engineer specializing in medical imaging, prosthetics, and biotechnology. Experience in biomedical engineer projects and innovations.",Biomedical Engineer,90
20,"Biomedical engineer specializing in medical imaging, prosthetics, and biotechnology. Worked on multiple biomedical engineer solutions and optimizations.",Biomedical Engineer,90
20,"Biomedical engineer specializing in medical imaging, prosthetics, and biotechnology. Specialized in biomedical engineer technologies and strategies.",Biomedical Engineer,90
21,"Operations manager with experience in logistics, supply chain, and strategic planning. Experience in operations manager projects and innovations.",Operations Manager,95
21,"Operations manager with experience in logistics, supply chain, and strategic planning. Specialized in operations manager technologies and strategies.",Operations Manager,95
21,"Operations manager with experience in logistics, supply chain, and strategic planning. Specialized in operations manager technologies and strategies.",Operations Manager,95
21,"Operations manager with experience in logistics, supply chain, and strategic planning. Passionate about operations manager advancements.",Operations Manager,95
21,"Operations manager with experience in logistics, supply chain, and strategic planning. Experience in operations manager projects and innovations.",Operations Manager,95
22,"QA tester with skills in automation testing, Selenium, and software debugging. Strong background in qa tester industry trends.",QA Tester,80
22,"QA tester with skills in automation testing, Selenium, and software debugging. Worked on multiple qa tester solutions and optimizations.",QA Tester,80
22,"QA tester with skills in automation testing, Selenium, and software debugging. Worked on multiple qa tester solutions and optimizations.",QA Tester,80
22,"QA tester with skills in automation testing, Selenium, and software debugging. Passionate about qa tester advancements.",QA Tester,80
22,"QA tester with skills in automation testing, Selenium, and software debugging. Specialized in qa tester technologies and strategies.",QA Tester,80
23,"UX/UI designer proficient in wireframing, prototyping, and user experience research. Strong background in ux/ui designer industry trends.",UX/UI Designer,63
23,"UX/UI designer proficient in wireframing, prototyping, and user experience research. Strong background in ux/ui designer industry trends.",UX/UI Designer,63
23,"UX/UI designer proficient in wireframing, prototyping, and user experience research. Specialized in ux/ui designer technologies and strategies.",UX/UI Designer,63
23,"UX/UI designer proficient in wireframing, prototyping, and user experience research. Experience in ux/ui designer projects and innovations.",UX/UI Designer,63
23,"UX/UI designer proficient in wireframing, prototyping, and user experience research. Passionate about ux/ui designer advancements.",UX/UI Designer,63
24,"Game developer with expertise in Unity, Unreal Engine, and C# programming. Specialized in game developer technologies and strategies.",Game Developer,90
24,"Game developer with expertise in Unity, Unreal Engine, and C# programming. Passionate about game developer advancements.",Game Developer,90
24,"Game developer with expertise in Unity, Unreal Engine, and C# programming. Passionate about game developer advancements.",Game Developer,90
24,"Game developer with expertise in Unity, Unreal Engine, and C# programming. Passionate about game developer advancements.",Game Developer,90
24,"Game developer with expertise in Unity, Unreal Engine, and C# programming. Worked on multiple game developer solutions and optimizations.",Game Developer,90
25,"Database administrator skilled in MySQL, PostgreSQL, and database optimization. Passionate about database administrator advancements.",Database Administrator,92
25,"Database administrator skilled in MySQL, PostgreSQL, and database optimization. Strong background in database administrator industry trends.",Database Administrator,92
25,"Database administrator skilled in MySQL, PostgreSQL, and database optimization. Passionate about database administrator advancements.",Database Administrator,92
25,"Database administrator skilled in MySQL, PostgreSQL, and database optimization. Worked on multiple database administrator solutions and optimizations.",Database Administrator,92
25,"Database administrator skilled in MySQL, PostgreSQL, and database optimization. Specialized in database administrator technologies and strategies.",Database Administrator,92
26,"Social media manager with expertise in campaign strategy, influencer marketing, and analytics. Strong background in social media manager industry trends.",Social Media Manager,70
26,"Social media manager with expertise in campaign strategy, influencer marketing, and analytics. Specialized in social media manager technologies and strategies.",Social Media Manager,70
26,"Social media manager with expertise in campaign strategy, influencer marketing, and analytics. Worked on multiple social media manager solutions and optimizations.",Social Media Manager,70
26,"Social media manager with expertise in campaign strategy, influencer marketing, and analytics. Worked on multiple social media manager solutions and optimizations.",Social Media Manager,70
26,"Social media manager with expertise in campaign strategy, influencer marketing, and analytics. Strong background in social media manager industry trends.",Social Media Manager,70
27,"Cybersecurity consultant experienced in penetration testing, risk analysis, and compliance. Specialized in cybersecurity consultant technologies and strategies.",Cybersecurity Consultant,80
27,"Cybersecurity consultant experienced in penetration testing, risk analysis, and compliance. Worked on multiple cybersecurity consultant solutions and optimizations.",Cybersecurity Consultant,80
27,"Cybersecurity consultant experienced in penetration testing, risk analysis, and compliance. Strong background in cybersecurity consultant industry trends.",Cybersecurity Consultant,80
27,"Cybersecurity consultant experienced in penetration testing, risk analysis, and compliance. Specialized in cybersecurity consultant technologies and strategies.",Cybersecurity Consultant,80
27,"Cybersecurity consultant experienced in penetration testing, risk analysis, and compliance. Experience in cybersecurity consultant projects and innovations.",Cybersecurity Consultant,80
28,"Cloud architect specializing in hybrid cloud environments, CI/CD pipelines, and infrastructure as code. Experience in cloud architect projects and innovations.",Cloud Architect,76
28,"Cloud architect specializing in hybrid cloud environments, CI/CD pipelines, and infrastructure as code. Worked on multiple cloud architect solutions and optimizations.",Cloud Architect,76
28,"Cloud architect specializing in hybrid cloud environments, CI/CD pipelines, and infrastructure as code. Specialized in cloud architect technologies and strategies.",Cloud Architect,76
28,"Cloud architect specializing in hybrid cloud environments, CI/CD pipelines, and infrastructure as code. Specialized in cloud architect technologies and strategies.",Cloud Architect,76
28,"Cloud architect specializing in hybrid cloud environments, CI/CD pipelines, and infrastructure as code. Worked on multiple cloud architect solutions and optimizations.",Cloud Architect,76
29,"Data engineer proficient in ETL, Hadoop, Apache Spark, and data pipelines. Specialized in data engineer technologies and strategies.",Data Engineer,76
29,"Data engineer proficient in ETL, Hadoop, Apache Spark, and data pipelines. Passionate about data engineer advancements.",Data Engineer,76
29,"Data engineer proficient in ETL, Hadoop, Apache Spark, and data pipelines. Passionate about data engineer advancements.",Data Engineer,76
29,"Data engineer proficient in ETL, Hadoop, Apache Spark, and data pipelines. Experience in data engineer projects and innovations.",Data Engineer,76
29,"Data engineer proficient in ETL, Hadoop, Apache Spark, and data pipelines. Passionate about data engineer advancements.",Data Engineer,76
30,"DevOps engineer with experience in Docker, Kubernetes, Jenkins, and CI/CD automation. Specialized in devops engineer technologies and strategies.",DevOps Engineer,66
30,"DevOps engineer with experience in Docker, Kubernetes, Jenkins, and CI/CD automation. Passionate about devops engineer advancements.",DevOps Engineer,66
30,"DevOps engineer with experience in Docker, Kubernetes, Jenkins, and CI/CD automation. Worked on multiple devops engineer solutions and optimizations.",DevOps Engineer,66
30,"DevOps engineer with experience in Docker, Kubernetes, Jenkins, and CI/CD automation. Strong background in devops engineer industry trends.",DevOps Engineer,66
30,"DevOps engineer with experience in Docker, Kubernetes, Jenkins, and CI/CD automation. Experience in devops engineer projects and innovations.",DevOps Engineer,66
31,"Technical writer skilled in documentation, API writing, and user manuals. Strong background in technical writer industry trends.",Technical Writer,80
31,"Technical writer skilled in documentation, API writing, and user manuals. Specialized in technical writer technologies and strategies.",Technical Writer,80
31,"Technical writer skilled in documentation, API writing, and user manuals. Worked on multiple technical writer solutions and optimizations.",Technical Writer,80
31,"Technical writer skilled in documentation, API writing, and user manuals. Strong background in technical writer industry trends.",Technical Writer,80
31,"Technical writer skilled in documentation, API writing, and user manuals. Specialized in technical writer technologies and strategies.",Technical Writer,80
32,"AI chatbot developer with expertise in NLP, conversational AI, and chatbot frameworks. Specialized in ai chatbot developer technologies and strategies.",AI Chatbot Developer,82
32,"AI chatbot developer with expertise in NLP, conversational AI, and chatbot frameworks. Passionate about ai chatbot developer advancements.",AI Chatbot Developer,82
32,"AI chatbot developer with expertise in NLP, conversational AI, and chatbot frameworks. Worked on multiple ai chatbot developer solutions and optimizations.",AI Chatbot Developer,82
32,"AI chatbot developer with expertise in NLP, conversational AI, and chatbot frameworks. Experience in ai chatbot developer projects and innovations.",AI Chatbot Developer,82
32,"AI chatbot developer with expertise in NLP, conversational AI, and chatbot frameworks. Worked on multiple ai chatbot developer solutions and optimizations.",AI Chatbot Developer,82
33,"Business analyst experienced in requirement gathering, stakeholder communication, and reporting. Strong background in business analyst industry trends.",Business Analyst,68
33,"Business analyst experienced in requirement gathering, stakeholder communication, and reporting. Strong background in business analyst industry trends.",Business Analyst,68
33,"Business analyst experienced in requirement gathering, stakeholder communication, and reporting. Strong background in business analyst industry trends.",Business Analyst,68
33,"Business analyst experienced in requirement gathering, stakeholder communication, and reporting. Specialized in business analyst technologies and strategies.",Business Analyst,68
33,"Business analyst experienced in requirement gathering, stakeholder communication, and reporting. Worked on multiple business analyst solutions and optimizations.",Business Analyst,68
34,"SEO specialist with expertise in keyword research, on-page SEO, and analytics. Passionate about seo specialist advancements.",SEO Specialist,87
34,"SEO specialist with expertise in keyword research, on-page SEO, and analytics. Passionate about seo specialist advancements.",SEO Specialist,87
34,"SEO specialist with expertise in keyword research, on-page SEO, and analytics. Specialized in seo specialist technologies and strategies.",SEO Specialist,87
34,"SEO specialist with expertise in keyword research, on-page SEO, and analytics. Strong background in seo specialist industry trends.",SEO Specialist,87
34,"SEO specialist with expertise in keyword research, on-page SEO, and analytics. Specialized in seo specialist technologies and strategies.",SEO Specialist,87
35,"Robotics engineer with experience in autonomous systems, ROS, and robotic control systems. Strong background in robotics engineer industry trends.",Robotics Engineer,85
35,"Robotics engineer with experience in autonomous systems, ROS, and robotic control systems. Specialized in robotics engineer technologies and strategies.",Robotics Engineer,85
35,"Robotics engineer with experience in autonomous systems, ROS, and robotic control systems. Worked on multiple robotics engineer solutions and optimizations.",Robotics Engineer,85
35,"Robotics engineer with experience in autonomous systems, ROS, and robotic control systems. Worked on multiple robotics engineer solutions and optimizations.",Robotics Engineer,85
35,"Robotics engineer with experience in autonomous systems, ROS, and robotic control systems. Worked on multiple robotics engineer solutions and optimizations.",Robotics Engineer,85
36,"Machine learning engineer proficient in Scikit-Learn, TensorFlow, and AI model deployment. Worked on multiple machine learning engineer solutions and optimizations.",Machine Learning Engineer,91
36,"Machine learning engineer proficient in Scikit-Learn, TensorFlow, and AI model deployment. Worked on multiple machine learning engineer solutions and optimizations.",Machine Learning Engineer,91
36,"Machine learning engineer proficient in Scikit-Learn, TensorFlow, and AI model deployment. Strong background in machine learning engineer industry trends.",Machine Learning Engineer,91
36,"Machine learning engineer proficient in Scikit-Learn, TensorFlow, and AI model deployment. Strong background in machine learning engineer industry trends.",Machine Learning Engineer,91
36,"Machine learning engineer proficient in Scikit-Learn, TensorFlow, and AI model deployment. Specialized in machine learning engineer technologies and strategies.",Machine Learning Engineer,91
37,"Security engineer specializing in endpoint security, threat analysis, and security automation. Passionate about security engineer advancements.",Security Engineer,80
37,"Security engineer specializing in endpoint security, threat analysis, and security automation. Passionate about security engineer advancements.",Security Engineer,80
37,"Security engineer specializing in endpoint security, threat analysis, and security automation. Worked on multiple security engineer solutions and optimizations.",Security Engineer,80
37,"Security engineer specializing in endpoint security, threat analysis, and security automation. Worked on multiple security engineer solutions and optimizations.",Security Engineer,80
37,"Security engineer specializing in endpoint security, threat analysis, and security automation. Strong background in security engineer industry trends.",Security Engineer,80
38,"E-commerce specialist with skills in Shopify, WooCommerce, and conversion optimization. Strong background in e-commerce specialist industry trends.",E-Commerce Specialist,87
38,"E-commerce specialist with skills in Shopify, WooCommerce, and conversion optimization. Strong background in e-commerce specialist industry trends.",E-Commerce Specialist,87
38,"E-commerce specialist with skills in Shopify, WooCommerce, and conversion optimization. Worked on multiple e-commerce specialist solutions and optimizations.",E-Commerce Specialist,87
38,"E-commerce specialist with skills in Shopify, WooCommerce, and conversion optimization. Experience in e-commerce specialist projects and innovations.",E-Commerce Specialist,87
38,"E-commerce specialist with skills in Shopify, WooCommerce, and conversion optimization. Passionate about e-commerce specialist advancements.",E-Commerce Specialist,87
39,"Cloud security engineer focusing on IAM, threat detection, and compliance monitoring. Worked on multiple cloud security engineer solutions and optimizations.",Cloud Security Engineer,75
39,"Cloud security engineer focusing on IAM, threat detection, and compliance monitoring. Passionate about cloud security engineer advancements.",Cloud Security Engineer,75
39,"Cloud security engineer focusing on IAM, threat detection, and compliance monitoring. Strong background in cloud security engineer industry trends.",Cloud Security Engineer,75
39,"Cloud security engineer focusing on IAM, threat detection, and compliance monitoring. Experience in cloud security engineer projects and innovations.",Cloud Security Engineer,75
39,"Cloud security engineer focusing on IAM, threat detection, and compliance monitoring. Strong background in cloud security engineer industry trends.",Cloud Security Engineer,75
40,"Data privacy consultant with expertise in GDPR, CCPA, and data governance. Strong background in data privacy consultant industry trends.",Data Privacy Consultant,88
40,"Data privacy consultant with expertise in GDPR, CCPA, and data governance. Strong background in data privacy consultant industry trends.",Data Privacy Consultant,88
40,"Data privacy consultant with expertise in GDPR, CCPA, and data governance. Specialized in data privacy consultant technologies and strategies.",Data Privacy Consultant,88
40,"Data privacy consultant with expertise in GDPR, CCPA, and data governance. Passionate about data privacy consultant advancements.",Data Privacy Consultant,88
40,"Data privacy consultant with expertise in GDPR, CCPA, and data governance. Worked on multiple data privacy consultant solutions and optimizations.",Data Privacy Consultant,88
41,"AI ethics researcher studying fairness, bias, and responsible AI development. Passionate about ai ethics researcher advancements.",AI Ethics Researcher,81
41,"AI ethics researcher studying fairness, bias, and responsible AI development. Strong background in ai ethics researcher industry trends.",AI Ethics Researcher,81
41,"AI ethics researcher studying fairness, bias, and responsible AI development. Passionate about ai ethics researcher advancements.",AI Ethics Researcher,81
41,"AI ethics researcher studying fairness, bias, and responsible AI development. Strong background in ai ethics researcher industry trends.",AI Ethics Researcher,81
41,"AI ethics researcher studying fairness, bias, and responsible AI development. Experience in ai ethics researcher projects and innovations.",AI Ethics Researcher,81
42,"Embedded systems engineer working with IoT, real-time OS, and firmware development. Experience in embedded systems engineer projects and innovations.",Embedded Systems Engineer,92
42,"Embedded systems engineer working with IoT, real-time OS, and firmware development. Strong background in embedded systems engineer industry trends.",Embedded Systems Engineer,92
42,"Embedded systems engineer working with IoT, real-time OS, and firmware development. Passionate about embedded systems engineer advancements.",Embedded Systems Engineer,92
42,"Embedded systems engineer working with IoT, real-time OS, and firmware development. Passionate about embedded systems engineer advancements.",Embedded Systems Engineer,92
42,"Embedded systems engineer working with IoT, real-time OS, and firmware development. Specialized in embedded systems engineer technologies and strategies.",Embedded Systems Engineer,92
43,"Legal consultant with experience in contract law, compliance, and corporate governance. Specialized in legal consultant technologies and strategies.",Legal Consultant,67
43,"Legal consultant with experience in contract law, compliance, and corporate governance. Worked on multiple legal consultant solutions and optimizations.",Legal Consultant,67
43,"Legal consultant with experience in contract law, compliance, and corporate governance. Experience in legal consultant projects and innovations.",Legal Consultant,67
43,"Legal consultant with experience in contract law, compliance, and corporate governance. Specialized in legal consultant technologies and strategies.",Legal Consultant,67
43,"Legal consultant with experience in contract law, compliance, and corporate governance. Experience in legal consultant projects and innovations.",Legal Consultant,67
44,"Financial analyst specializing in risk assessment, portfolio management, and financial modeling. Passionate about financial analyst advancements.",Financial Analyst,86
44,"Financial analyst specializing in risk assessment, portfolio management, and financial modeling. Strong background in financial analyst industry trends.",Financial Analyst,86
44,"Financial analyst specializing in risk assessment, portfolio management, and financial modeling. Experience in financial analyst projects and innovations.",Financial Analyst,86
44,"Financial analyst specializing in risk assessment, portfolio management, and financial modeling. Strong background in financial analyst industry trends.",Financial Analyst,86
44,"Financial analyst specializing in risk assessment, portfolio management, and financial modeling. Worked on multiple financial analyst solutions and optimizations.",Financial Analyst,86
45,"Healthcare administrator with expertise in medical billing, hospital operations, and patient management. Specialized in healthcare administrator technologies and strategies.",Healthcare Administrator,81
45,"Healthcare administrator with expertise in medical billing, hospital operations, and patient management. Worked on multiple healthcare administrator solutions and optimizations.",Healthcare Administrator,81
45,"Healthcare administrator with expertise in medical billing, hospital operations, and patient management. Experience in healthcare administrator projects and innovations.",Healthcare Administrator,81
45,"Healthcare administrator with expertise in medical billing, hospital operations, and patient management. Passionate about healthcare administrator advancements.",Healthcare Administrator,81
45,"Healthcare administrator with expertise in medical billing, hospital operations, and patient management. Worked on multiple healthcare administrator solutions and optimizations.",Healthcare Administrator,81
46,"Creative director leading brand strategy, visual storytelling, and marketing campaigns. Worked on multiple creative director solutions and optimizations.",Creative Director,68
